part,knn,svd,autorec
0,0.20275939337254664,0.2034393327753146,0.20917909257307812
1,0.20457399436045118,0.20377668330918305,0.20566426615109853
2,0.2011828410244044,0.20489111368133717,0.20845807068836816
3,0.20070728309010236,0.20319288081780335,0.21096294671843094
4,0.20363703224981955,0.2039674751907142,0.21175642754697613
5,0.20296613005952466,0.20395261152237906,0.21022339464722495
6,0.20635113720298176,0.2042467526365279,0.210209948103098
7,0.2007519642803493,0.20325891963911447,0.20564844732657
8,0.2053701761120373,0.20430266382321588,0.21032795685816139
9,0.20603432689419063,0.20519786049130487,0.21057877013347354
